Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Unnamed: 28
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,26/04/2024,QM24S2402528,1,"725,4",390470936,30716,196631588,92.0,84274754,1713126,5767700,651565900,5332281936,150597040,210.0,40975,684.0,62.0,17598718,114.0,18004655,22931,4818457,2669262,0.0,
Not Like Us,Not Like Us,Kendrick Lamar,04/05/2024,USUG12400910,2,"545,9",323703884,28113,174597137,92.0,116347040,3486739,674700,35223547,208339025,156380351,188.0,40778,3.0,67.0,10422430,111.0,7780028,28444,6623075,1118279,1.0,
i like the way you kiss me,I like the way you kiss me,Artemas,19/03/2024,QZJ842400387,3,"538,4",601309283,54331,211607669,92.0,122599116,2228730,3025400,275154237,3369120610,373784955,190.0,74333,536.0,136.0,36321847,172.0,5022621,5639,7208651,5285340,0.0,
Flowers,Flowers - Single,Miley Cyrus,12/01/2023,USSM12209777,4,"444,9",2031280633,269802,136569078,85.0,1096100899,10629796,7189811,1078757968,14603725994,3351188582,394.0,1474799,2182.0,264.0,24684248,210.0,190260277,203384,,11822942,0.0,
Houdini,Houdini,Eminem,31/05/2024,USUG12403398,5,"423,3",107034922,7223,151469874,88.0,77373957,3670188,16400,,,112763851,182.0,12185,1.0,82.0,17660624,105.0,4493884,7006,207179,457017,1.0,
Lovin On Me,Lovin On Me,Jack Harlow,10/11/2023,USAT22311371,6,"410,1",670665438,105892,175421034,83.0,131148091,1392593,4202367,214943489,2938686633,2867222632,138.0,522042,4654.0,86.0,17167254,152.0,138529362,50982,9438601,4517131,1.0,
Beautiful Things,Beautiful Things,Benson Boone,18/01/2024,USWB12307016,7,"407,2",900158751,73118,201585714,86.0,308723145,4120760,,29584940,534915313,4601579812,280.0,383478,429.0,168.0,48197850,154.0,65447476,57372,,9990302,0.0,
Gata Only,Gata Only,FloyyMenor,02/02/2024,QZL382406049,8,"375,8",675079153,40094,211236940,92.0,228382568,1439495,3500000,338546668,3804584163,2112581620,160.0,17221,30.0,87.0,33245595,53.0,3372428,5762,,6063523,1.0,
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,23/05/2024,USSM12404354,10,"330,6",90676573,10400,184199419,86.0,32735244,988682,325800,121574500,974656200,174706874,191.0,3823,117.0,78.0,10800098,92.0,1005626,842,3679709,666302,1.0,
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,10/05/2024,USUM72404990,11,"322,1",250080413,16219,168766158,91.0,32229063,550191,,184500,2100000,327130768,157.0,62312,71.0,60.0,12009073,114.0,23155471,21172,1594605,963413,1.0,
The Door,The Door,Teddy Swims,14/06/2024,USWB12402486,12,"320,2",111155129,2,263767,,,,,,,,,,,,,2.0,,,,,1.0,
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,17/05/2024,USUM72401991,13,"316,3",221636195,13800,197280692,92.0,40022524,1307290,195300,45889000,360017000,342107131,244.0,41344,45.0,138.0,38243636,163.0,1354692,1219,1313357,450344,0.0,
Like That,WE DON'T TRUST YOU,Future,22/03/2024,USSM12402041,14,"308,2",355186436,43025,108168634,88.0,98081493,1456177,,,,174491415,153.0,90237,3.0,55.0,3001826,109.0,26252264,18364,12038034,1963314,1.0,
bathroom floor,bathroom floor,Kids With Buns,07/10/2022,NLC242100307,15,"301,6",297185,277,24445,12.0,6736502312,16785489,3,1088,22234,,1.0,1057,,,,,,,,3288,0.0,
LALA,LALA - Single,Myke Towers,22/03/2023,USWL12300002,16,"299,9",925655569,103605,79944921,79.0,934302031,4294166,11054500,521725116,7499234052,2042145659,94.0,92231,228.0,60.0,5633435,83.0,12171026,13242,871978,2765808,1.0,
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,18/04/2024,USUG12401028,17,"297,6",395433400,12784,177932568,89.0,104673836,2484083,139300,25348800,207317000,268893710,221.0,129968,3.0,99.0,37988531,134.0,9961769,13437,377734,1210029,0.0,
greedy,greedy,Tate McRae,14/09/2023,USRC12301932,18,"293,7",1258569694,105218,198845580,87.0,141646818,1514837,2294429,419319161,5456156211,2667285437,207.0,667329,3310.0,188.0,21788568,150.0,44850379,12270,,6973652,1.0,
BLUE,HIT ME HARD AND SOFT,Billie Eilish,17/05/2024,USUM72401996,19,"292,6",91272461,6499,52287548,86.0,16038053,569377,941900,119740900,1225345800,5839168,76.0,181,1.0,24.0,5054005,33.0,283089,162,975891,257661,0.0,
As It Was,As It Was,Harry Styles,31/03/2022,USSM12200612,20,292,3301814535,407119,169783402,87.0,800899315,9101589,2755903,1633970617,15405881843,7289707052,455.0,1777811,4909.0,330.0,12907852,189.0,132624772,79909,,14967379,0.0,
Paint The Town Red,Paint The Town Red,Doja Cat,04/08/2023,USRC12300907,21,"290,5",1065399331,170890,121712197,78.0,240970670,2749668,3091732,652428798,7095564106,1063591802,158.0,400899,273.0,143.0,13718632,146.0,70291476,49111,,7559816,1.0,
Espresso,Espresso,Sabrina Carpenter,12/04/2024,USUM72403305,22,"281,5",547882871,24425,262343414,95.0,107550212,1825761,209200,169144295,1379499000,422646034,298.0,37208,236.0,167.0,41414565,149.0,10362898,10848,1551157,1373085,1.0,
Danza Kuduro - Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN,21/05/2024,TCJPA2445163,23,279,1655575417,10,655,,,,,,,,,,,,,,,,,,1.0,
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyonce,10/02/2024,USSM12401302,24,"278,9",426700979,34044,152928632,86.0,35724356,437980,1470500,485200392,6518604175,1213175656,159.0,309497,257.0,194.0,40725482,177.0,13860535,36282,,2100708,1.0,
Future,Future,official sound studio,10/01/2024,RUA1H2415548,25,"277,5",,1,2,,,,9453333,273236305,4306269694,,,,,,,,,,,,0.0,
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,24/05/2022,BXWEH2200054,26,"268,1",7382759,3504,661084,35.0,4233958,69990,37621885,1636811753,22918660728,,1.0,,439.0,1.0,6,1.0,,,,633525,0.0,
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,09/07/2021,USSM12103949,27,"266,3",3107100349,451732,134793519,78.0,1256973582,14661425,7485966,2246991336,23712377029,4327058646,513.0,1510151,4096.0,166.0,5783693,128.0,196783487,124922,36341585,,1.0,
Baby Shark,Â Â ,Pinkfong,01/12/2015,KRE671700001,28,"265,7",720822868,60945,7530769,71.0,16322756555,48757673,7743800,281762094,6577639193,2166611,33.0,284,142.0,19.0,52179,17.0,86458847,2234137,,2064420,0.0,
we can't be friends (wait for your love),eternal sunshine,Ariana Grande,08/03/2024,USUM72317276,29,"262,8",591068364,26203,197494995,87.0,156882014,3080503,,,,578568464,194.0,200230,32.0,117.0,22062193,126.0,10106573,7689,1612479,1579980,0.0,
Numb / Encore,Papercuts,JAY-Z,12/04/2024,USWB12400678,30,256,1003215671,128,485454,,,,,,,,,,,,,,179867721,87209,,4474248,1.0,
SHEESH,BABYMONS7ER,BABYMONSTER,01/04/2024,KRA402400016,32,"237,5",124893397,3479,25936342,82.0,359896095,4907193,212500,48327004,390081328,38798822,36.0,2188,32.0,3.0,347997,26.0,130743,592,265670,191867,0.0,
